lot,block,street,price_millions,printed_die
A1,A,Sahara Ave,9,3
A2,A,Sahara Ave,6,2
A3,A,Sahara Ave,15,5
A4,A,Sahara Ave,12,4
A5,A,Sahara Ave,9,3
A6,A,Sahara Ave,20,6
B1,B,Sahara Ave,15,5
B2,B,Sahara Ave,6,2
B3,B,Sahara Ave,9,3
B4,B,Sahara Ave,20,6
B5,B,Sahara Ave,9,3
B6,B,Sahara Ave,12,4
C1,C,Flamingo Rd,12,4
C2,C,Flamingo Rd,9,3
C3,C,Flamingo Rd,20,6
C4,C,Flamingo Rd,6,2
C5,C,Flamingo Rd,8,1
C6,C,Flamingo Rd,12,4
C7,C,Flamingo Rd,6,2
C8,C,Flamingo Rd,8,1
C9,C,Flamingo Rd,12,4
C10,C,Flamingo Rd,9,3
C11,C,Flamingo Rd,6,2
C12,C,Flamingo Rd,15,5
D1,D,Flamingo Rd,20,6
D2,D,Flamingo Rd,9,3
D3,D,Flamingo Rd,12,4
D4,D,Flamingo Rd,12,4
D5,D,Flamingo Rd,8,1
D6,D,Flamingo Rd,6,2
D7,D,Flamingo Rd,15,5
D8,D,Flamingo Rd,6,2
D9,D,Flamingo Rd,9,3
E1,E,Tropicana Ave,9,3
E2,E,Tropicana Ave,6,2
E3,E,Tropicana Ave,15,5
E4,E,Tropicana Ave,12,4
E5,E,Tropicana Ave,9,3
E6,E,Tropicana Ave,20,6
F1,F,Harmon Ave,20,6
F2,F,Harmon Ave,9,3
F3,F,Harmon Ave,12,4
F4,F,Harmon Ave,12,4
F5,F,Harmon Ave,8,1
F6,F,Harmon Ave,6,2
F7,F,Harmon Ave,15,5
F8,F,Harmon Ave,6,2
F9,F,Harmon Ave,9,3
